Sword fighting;281
Wushu;282
Kumdo;283
Wing Chun;284
Airsoft;285
Laser tag;286
Paintball;287
Carom billiards	;288
Three-cushion;289
Five-pins;290
Balkline and straight rail;291
Cushion caroms;292
Four-ball (yotsudama);293
Artistic billiards;294
carromNovuss (and cued forms of );295
Pocket billiards (pool)	;296
Eight-ball;297
Blackball (a.k.a. British eight-ball pool);298
Nine-ball;299
Straight pool (14.1 continuous);300
One-pocket;301
Three-ball;302
Seven-ball;303
Ten-ball;304
Rotation;305
Baseball pocket billiards;306
Cribbage (pool);307
Bank pool;308
Artistic pool;309
Trick shot competition;310
Speed pool;311
Bowlliards;312
Chicago;313
Kelly pool;314
Cutthroat;315
Killer;316
Russian pyramid;317
Snooker	;318
Sinuca brasileira;319
Six-red snooker;320
Snooker plus;321
Hybrid caromâ€“pocket games	;322
English billiards;323
Bottle pool;324
Cowboy;325
Obstacle variations	;326
Bagatelle;327
Bar billiards;328
Bumper pool;329
Table Sports	;330
Foosball;331
Buzkashi;332
Barrel racing;333
Campdrafting;334
Cirit;335
Charreada;336
Chilean rodeo;337
Cross country;338
Cutting;339
Dressage;340
Endurance riding;341
English pleasure;342
Equitation;343
Eventing;344
Equestrian vaulting;345
Gymkhana;346
Harness racing;347
Horse racing;348
Horseball;349
Hunter;350
Hunter-jumpers;351
Jousting;352
Pato;353
Reining;354
Rodeo;355
Show jumping;356
Steeplechase;357
Sur-papakh;358
Team penning;359
Tent pegging;360
Western pleasure;361
Angling;362
Big-game fishing;363
Casting;364
Noodling;365
Spearfishing;366
Sport fishing;367
Surf fishing;368
Rock fishing;369
Fly fishing;370
Ice fishing;371
Beach ultimate;372
Disc dog;373
Disc golf;374
Disc golf (urban);375
Dodge disc;376
Double disc court;377
Flutterguts;378
Freestyle;379
Freestyle competition;380
Goaltimate;381
Guts;382
Hot box;383
Ultimate;384
Ancient games;385
Chinlone;386
Cuju;387
Episkyros;388
Harpastum;389
Kemari;390
Ki-o-rahi;391
Marn Grook;392
Woggabaliri;393
Yubi lakpi;394
Medieval football	;395
Ba game;396
Caid;397
Calcio Fiorentino;398
Camping (game);399
Cnapan;400
Cornish hurling;401
Haxey Hood;402
Knattleikr;403
La soule;404
Lelo burti;405
Mob football;406
Royal Shrovetide Football;407
Uppies and Downies;408
Association football;409
Jorkyball;410
Paralympic football;411
Powerchair Football;412
Reduced variants;413
Five-a-side football	;414
Beach soccer;415
Futebol de SalÃ£o;416
Futsal;417
Papi fut;418
Indoor soccer;419
Masters Football;420
Street football	;421
Freestyle football;422
Keepie uppie;423
Swamp football;424
Three sided football;425
Australian football	;426
Nine-a-side footy;427
Rec footy;428
Metro footy;429
English school games;430
Eton College;431
Field game;432
Wall game;433
Harrow football;434
Gaelic football	;435
Ladies' Gaelic football;436
Gridiron football;437
American football;438
Eight-man football;439
Flag football;440
Indoor football	;441
Arena football;442
Nine-man football;443
Six-man football;444
Sprint football;445
Touch football;446
Canadian football;447
Street football (American);448
Rugby football;449
Beach rugby;450
Rugby league	;451
Masters Rugby League;452
Mod league;453
Rugby league nines;454
Rugby league sevens;455
Tag rugby;456
Touch football;457
Wheelchair rugby league;458
Rugby union	;459
American flag rugby;460
Mini rugby;461
Rugby sevens;462
Tag rugby;463
Touch rugby;464
Rugby tens;465
Snow rugby;466
Hybrid codes	;467
Austus;468
Eton wall game;469
International rules football;470
Samoa rules;471
Speedball;472
Universal football;473
Volata;474
Miniature golf;475
Match play;476
Skins game;477
Speed golf;478
Stroke play;479
Team play	;480
Shotgun start;481
Urban Golf;482
Acrobatic gymnastics;483
Aerobic gymnastics;484
Artistic gymnastics	;485
Balance beam;486
Floor;487
High bar;488
Parallel bars;489
Pommel horse;490
Still rings;491
Uneven bars;492
Vault;493
Juggling;494
Rhythmic gymnastics	;495
Ball;496
Club;497
Hoop;498
Ribbon;499
Rope;500
Rope jumping;501
Slacklining;502
Trampolining;503
Trapeze	;504
Flying trapeze;505
Static trapeze;506
Tumbling;507
Goalball;508
Tchoukball;509
Team handball	;510
Beach handball;511
Czech handball;512
Field handball;513
Torball;514
Water polo;515
Beagling;516
Big game hunting;517
Deer hunting;518
Fox hunting;519
Hare coursing;520
Wolf hunting;521
Bandy	;522
Rink bandy;523
Broomball	;524
Moscow broomball;525
Curling;526
Ice hockey;527
Ringette;528
Ice yachting;529
Figure skating	;530
Single skating (men's and ladies' singles);531
Pair skating;532
Ice dancing;533
Kite buggy;534
Kite fighting;535
Kite landboarding;536
Kitesurfing;537
Parasailing;538
Snow kiting;539
Sport kite (Stunt kite);540
Adventure racing;541
Biathlon;542
Duathlon;543
Decathlon;544
Heptathlon;545
Icosathlon;546
Modern pentathlon;547
Pentathlon;548
Tetrathlon;549
Triathlon;550
Geocaching;551
Orienteering;552
Rogaining;553
Letterboxing;554
Waymarking;555
American handball;556
Australian handball;557
Basque pelota	;558
Jai alai;559
Fives	;560
Eton Fives;561
Rugby Fives;562
Frisian handball;563
Four square;564
Gaelic handball;565
Jeu de paume;566
Palla;567
Patball;568
Valencian pilota;569
Badminton;570
Ball badminton;571
Basque pelota	;572
Frontenis;573
Xare;574
Beach tennis;575
Matkot;576
Miniten;577
Padel;578
Paleta FrontÃ³n;579
Pelota mixteca;580
Pickleball;581
Platform tennis;582
Qianball;583
Racketlon;584
Racquetball;585
Racquets;586
Real tennis;587
Soft tennis;588
Speed-ball;589
Speedminton;590
Squash	;591
Hardball squash;592
Squash tennis;593
StickÃ©;594
Table tennis;595
Tennis;596
Tennis polo;597
Model aerobatics;598
RC racing;599
Robot combat;600
Slot car racing;601
Bullriding;602
Miniature Bull Riding;603
Barrel Racing;604
Bronc Riding	;605
Saddle Bronc Riding;606
Bareback Bronc Riding;607
Pole bending;608
Roping	;609
Breakaway Roping;610
Calf Roping;611
Team Roping;612
Steer Roping;613
Steer Wrestling;614
Goat Tying;615
Endurance	;616
5K run;617
10K run;618
Cross-country running;619
Half marathon;620
Marathon;621
Road running;622
Ekiden;623
Tower running;624
Ultramarathon;625
Snowshoe running;626
Fell running;627
Trail running;628
Mountain running;629
Skyrunning;630
Sprint;631
Hurdles;632
Ice yachting;633
Land sailing;634
Land windsurfing;635
Sailing;636
Windsurfing;637
Kiteboarding;638
Dinghy sailing;639
Alpine skiing;640
Freestyle skiing;641
Nordic combined;642
Nordic skiing	;643
Cross-country skiing;644
Telemark skiing;645
Ski jumping;646
Ski touring;647
Skijoring;648
Speed skiing;649
Bobsleigh;650
Luge;651
Skibobbing;652
Skeleton;653
Toboggan;654
Clay pigeon shooting	;655
Skeet shooting;656
Trap shooting;657
Sporting clays;658
Target shooting	;659
Field target;660
Fullbore target rifle;661
High power rifle;662
Benchrest shooting;663
Metallic silhouette;664
Practical shooting;665
Cowboy action shooting;666
Metallic silhouette shooting;667
Card stacking;668
Dice stacking;669
Sport stacking;670
Hornussen;671
Hockey;672
Ball hockey;673
Bando;674
Bandy	;675
Rink bandy;676
Broomball	;677
Moscow broomball;678
Field hockey	;679
Indoor field hockey;680
Floorball;681
Ice hockey	;682
Pond hockey;683
Power hockey;684
Sledge hockey;685
Underwater ice hockey;686
Ringette;687
Rinkball;688
